iter	Passed	Remaining
0	10	1036
1	20	990
2	29	952
3	38	913
4	46	888
5	55	865
6	63	849
7	72	832
8	81	819
9	89	805
10	99	802
11	107	787
12	115	773
13	124	762
14	132	749
15	140	738
16	148	726
17	157	715
18	165	704
19	173	693
20	181	682
21	190	673
22	198	664
23	207	656
24	216	648
25	224	640
26	234	632
27	243	625
28	254	622
29	265	620
30	275	613
31	284	605
32	294	597
33	304	590
34	313	582
35	322	574
36	332	566
37	342	559
38	352	551
39	362	543
40	371	535
41	381	526
42	391	518
43	400	510
44	410	501
45	420	493
46	429	484
47	440	477
48	451	470
49	461	461
50	471	452
51	481	444
52	491	435
53	500	426
54	510	417
55	520	408
56	530	400
57	540	391
58	549	382
59	559	372
60	569	364
61	579	355
62	589	346
63	600	337
64	610	328
65	619	319
66	629	310
67	639	300
68	648	291
69	658	282
70	668	273
71	678	263
72	688	254
73	698	245
74	708	236
75	718	226
76	728	217
77	738	208
78	748	198
79	758	189
80	767	180
81	777	170
82	787	161
83	797	151
84	807	142
85	817	133
86	827	123
87	837	114
88	847	104
89	857	95
90	868	85
91	877	76
92	888	66
93	898	57
94	908	47
95	918	38
96	928	28
97	938	19
98	947	9
99	957	0
